i,Process10,Process20,Process30
1102,20,40,50
1103,20,40,50
1104,20,40,50
1105,20,40,50
1106,20,40,52
1107,20,40,52
1108,20,40,52
1109,20,40,52
1110,20,40,52
1111,20,40,52
1112,20,40,52
1113,20,40,52
1114,20,40,52
1115,20,40,52
1116,20,40,52
1117,20,40,52
1118,20,40,52
1119,20,40,52
1120,20,40,52
1121,20,40,52
1122,20,40,52
1123,20,40,52
1124,20,40,52
1125,20,40,52
1126,20,40,52
1127,20,40,52
1128,20,40,52
1129,20,40,52
1130,20,40,52
1131,20,40,52
1132,20,40,52
1133,20,40,52
1134,20,40,52
1135,20,40,52
1136,20,40,52
1137,20,40,52
1138,20,40,52
1139,20,40,52
1140,20,40,52
1141,20,40,52
1142,20,40,52
1143,20,40,52
1144,20,40,52
1145,20,40,52
1146,20,40,52
1147,20,40,52
1148,20,40,52
1149,20,40,53
1150,20,40,53
1151,20,40,53
1152,20,40,53
1153,20,40,53
1154,20,40,53
1155,20,40,53
1156,20,40,53
1157,20,40,53
1158,20,40,53
1159,20,40,53
1160,20,40,53
1161,20,40,53
1162,20,40,53
1163,20,41,53
1164,20,41,53
1165,20,41,53
1166,20,41,53
1167,20,41,53
1168,20,41,53
1169,20,41,53
1170,20,41,53
1171,20,41,53
1172,20,41,53
1173,20,41,53
1174,20,41,53
1175,20,41,53
1176,20,41,53
1177,20,41,53
1178,20,41,53
1179,20,41,53
1180,20,41,53
1181,20,41,53
1182,20,41,53
1183,20,41,53
1184,20,41,53
1185,20,41,54
1186,20,41,54
1187,20,41,54
1188,20,41,54
1189,20,41,54
1190,20,41,54
1191,20,41,54
1192,20,41,54
1193,20,41,54
1194,20,41,54
1195,20,41,54
1196,20,41,54
1197,20,41,54
1198,20,41,54
1199,20,41,55
1200,20,41,55
1201,20,41,55
1202,20,41,55
1203,20,41,55
1204,20,41,55
1205,20,41,55
1206,20,41,55
1207,20,41,55
1208,20,41,55
1209,20,41,55
1210,20,41,55
1211,20,41,55
1212,20,41,55
1213,21,42,55
1214,21,42,55
1215,21,42,55
1216,21,42,55
1217,21,42,55
1218,21,42,55
1219,21,42,55
1220,21,42,55
1221,21,42,55
1222,21,42,55
1223,21,42,55
1224,21,42,55
1225,21,42,55
1226,21,42,55
1227,23,42,56
1228,23,42,56
1229,23,42,56
1230,23,42,56
1231,23,42,56
1232,23,42,56
1233,23,42,56
1234,24,42,57
1235,24,42,57
1236,24,42,57
1237,24,42,57
1238,24,42,57
1239,24,42,57
1240,24,42,57
1241,24,42,57
1242,24,42,57
1243,24,42,57
1244,24,42,57
1245,24,42,57
1246,24,42,57
1247,24,42,57
1248,24,42,57
1249,24,42,57
1250,24,42,57
1251,24,42,57
1252,24,42,57
1253,24,42,57
1254,24,42,57
1255,24,42,57
1256,24,42,57
1257,24,42,57
1258,24,42,57
1259,24,42,57
1260,24,42,57
1261,24,42,57
1262,24,42,57
1263,24,42,57
1264,24,42,57
1265,24,42,57
1266,24,42,57
1267,24,42,57
1268,24,42,57
1269,24,42,57
1270,24,42,57
1271,24,42,57
1272,24,42,57
1273,24,42,57
1274,24,42,57
1275,24,42,57
1276,24,42,57
1277,24,42,57
1278,24,42,57
1279,24,42,57
1280,24,42,57
1281,24,42,57
1282,24,42,57
1283,24,42,57
1284,24,42,57
1285,24,42,57
1286,24,42,57
1287,24,42,57
1288,24,42,57
1289,24,42,57
1290,25,42,57
1291,25,42,57
1292,25,42,57
1293,25,42,57
1294,25,42,57
1295,25,42,57
1296,25,42,57
1297,25,42,57
1298,25,42,57
1299,25,42,57
1300,25,42,57
1301,25,42,57
1302,25,42,57
1303,25,42,57
1304,25,42,57
1305,25,42,57
1306,25,42,57
1307,25,42,57
1308,25,42,57
1309,25,42,57
1310,25,42,57
1311,25,42,57
1312,25,42,57
1313,25,42,57
1314,25,42,57
1315,25,42,57
1316,25,42,57
1317,25,42,57
1318,27,42,58
1319,27,42,58
1320,27,42,58
1321,27,42,58
1322,27,42,58
1323,27,42,58
1324,27,42,58
1325,28,42,58
1326,28,42,58
1327,28,42,58
1328,28,42,58
1329,28,42,58
1330,28,42,58
1331,28,42,58
1332,28,42,58
1333,28,42,58
1334,28,42,58
1335,28,42,58
1336,28,42,58
1337,28,42,58
1338,28,42,58
1339,28,42,58
1340,28,42,60
1341,28,42,60
1342,28,42,60
1343,28,42,60
1344,28,42,60
1345,28,42,60
1346,28,42,60
1347,28,42,60
1348,28,42,60
1349,28,42,60
1350,28,42,60
1351,28,42,60
1352,28,42,60
1353,28,42,60
1354,28,42,61
1355,28,42,61
1356,28,42,61
1357,28,42,61
1358,28,42,61
1359,28,42,61
1360,28,42,61
1361,28,42,61
1362,28,42,61
1363,28,42,61
1364,28,42,61
1365,28,42,61
1366,28,42,61
1367,28,42,61
1368,28,42,61
1369,28,42,61
1370,28,42,61
1371,28,42,61
1372,28,42,61
1373,28,42,61
1374,28,42,61
1375,28,42,61
1376,28,42,61
1377,28,42,61
1378,28,42,61
1379,28,42,61
1380,28,42,61
1381,28,42,61
1382,28,42,61
1383,28,42,61
1384,28,42,61
1385,28,42,61
1386,28,42,61
1387,28,42,61
1388,28,42,61
1389,28,42,61
1390,28,42,61
1391,28,42,61
1392,28,42,61
1393,28,42,61
1394,28,42,61
1395,28,42,61
1396,28,42,61
1397,28,42,61
1398,28,42,61
1399,28,42,61
1400,28,42,61
1401,28,42,61
1402,28,42,61
1403,28,42,61
1404,28,42,61
1405,28,42,61
1406,28,42,61
1407,28,42,61
1408,28,42,61
1409,28,42,61
1410,28,42,61
1411,28,42,61
1412,28,42,61
1413,28,42,61
1414,28,42,61
1415,28,42,61
1416,28,42,61
1417,28,42,61
1418,28,42,63
